sensor,best_channel,baseline_mean_kPa(best_ch),baseline_std_kPa(best_ch),peak_deltaP_kPa(best_ch),plateau_mean_deltaP_kPa(best_ch),plateau_std_deltaP_kPa(best_ch),rise_time_10_90_s(best_ch)
sensor_A_5750,b2_P,973.0706335982877,1.1707914235102768,1.1393664017123228,0.8913677747909321,0.040317549792704584,1.93
sensor_B_5850,b5_P,974.6051069695063,0.07778396292631287,0.17489303049364935,0.13923700412803522,0.012929638965024021,0.9700000000000002
sensor_C_5950,b1_P,876.8786365447567,4.476391414856181,3.671363455243295,3.2479445015816437,0.34546671395777173,0.0
