mode,side,target,mae,rmse
fusion,L,fx,0.2242840826511383,0.3319273889064789
fusion,L,fy,0.23109564185142517,0.3254651725292206
fusion,L,fz,0.669485330581665,1.0376557111740112
fusion,R,fx,0.2302478849887848,0.3440459966659546
fusion,R,fy,0.2630489766597748,0.4520164132118225
fusion,R,fz,0.6884271502494812,1.0078816413879395
